date,ARDA,BRUC,CAMP,CORR,GOUN,KOND,MEAR,MTMA,NOON,REDB,BOKA,BROW,CASU,COOM,COYR,DULB,DUMB,FLAG,GUND,KWOB,LITT,MART,MIRI,MURA,NONA,PARK,QUEE,TAAN,TAAR,TOOL,WAGI,WALB,WARG,WEST,WHIN,WHIW,YEAL
20/07/1987,66,29.65517241,72.88120482,80.464,99.25621703,94.63923019,47.56820975,37.6414791,58.54545455,90.72340426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/09/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.58693069,NA,NA,NA,38.99684543,39.6858006,67.09504685,21.41176471,30.41338784,35.93517893,NA,NA,NA,64.31843575,NA,29.73757455,NA,NA,NA,14.7939793
27/12/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.26980728,NA,NA,53.02321119,58.88118812,52.57624756,NA,NA,49.50262881,28.73413897,58.32262383,109.8470588,35.84006132,23.25095656,NA,NA,NA,44.39851024,NA,32.72365805,23.86445013,NA,156.7915966,24.76763876
28/01/1988,101.4026846,39.22413793,113.3180778,85.344,108.4736446,NA,157.5562372,117.8858521,114.6013986,132.1276596,NA,158.443713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.1294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.097479,36.62935089
13/02/1988,120.966443,44.5862069,135.2839937,91.584,129.002259,118.3184267,179.7014315,145.6109325,131.4755245,151.9787234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/02/1988,132.6510067,46.68965517,139.1946284,93.496,137.9073795,120.1912188,180.9586912,154.0466238,130.041958,165.2819149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/1988,28.28187919,NA,34.33172729,64.24,65.79743976,62.62956467,54.74355828,NA,NA,40.39361702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/07/1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/08/1988,29.02013423,NA,NA,43.224,84.65587349,NA,30.57505112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/08/1988,25.08724832,21.96551724,30.87811634,59.272,66.20481928,70.21282726,24.39877301,16.90434084,42.68531469,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/09/1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/12/1988,38.34228188,30.01724138,69.24846441,87.608,92.35993976,96.21257673,34.41758691,99.57395498,82.12587413,100.1595745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/12/1988,40.33557047,31.24137931,67.06046007,NA,97.59487952,NA,40.08588957,92.97588424,99.06293706,103.4734043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/01/1989,47.40268456,40.01724138,94.60086716,90.352,106.7319277,112.2034323,52.12678937,113.0128617,119.1048951,108.3829787,29.89320388,136.9795918,37.48553055,27.77623126,15.15411985,NA,9.647643839,19.18019802,20.28854196,36.14143921,75.06618705,15.27970557,23.59214502,52.50200803,160.0705882,10.72841083,9.925050641,164.9988966,130.7724972,103.541654,42.97392924,52.17181706,18.37972167,22.65984655,144.6712479,164.6184874,16.8650047
19/03/1989,93.22147651,44.43103448,101.3385523,94.88,134.1528614,122.5829262,147.9546012,137.1575563,127.6993007,125.7021277,67.35339806,153.2455563,82.77170418,50.67665953,18.78501873,120.8900524,11.58752461,30.18217822,38.77167549,62.29032258,118.9208633,19.40694006,29.22054381,100.7844712,165.8,12.83060807,11.08395228,155.88,124.9073707,101.4501666,131.150838,78.42398022,25.07554672,54.49360614,175.4299065,170.2408964,21.7187206
4/04/1989,89.30872483,42.29310345,66.22269059,90.624,NA,100.075285,116.6617587,97.49758842,124.4055944,102.9414894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/05/1989,63.43624161,41.05172414,78.59857883,85.712,104.127259,108.6621148,88.21104294,47.25723473,107.951049,69.37234043,97.08932039,121.0131666,76.56913183,49.68522484,19.0344763,116.8481675,12.46863364,35.6570297,46.42514636,70.27047146,117.1928058,21.97791798,31.64634146,116.0655957,123.4117647,14.03018675,11.63124719,162.5514483,123.1166117,96.02484096,122.1005587,95.64771323,34.47316103,90.71867008,161.3188565,146.3540616,22.45014111
23/06/1989,20.67785235,28.15517241,16.49849161,NA,NA,NA,16.58866995,12.80273752,35.30769231,28.2606383,36.24466019,29.01053325,NA,NA,NA,62.45549738,NA,22.90638635,19.17801339,NA,54.10791367,16.81808623,22.15407855,46.06157965,22.55294118,14.80593199,NA,76.03531034,83.83652365,72.48712511,41.56343284,59.14709518,16.75498008,27.35549872,58.64046179,39.50896861,13.68188235
10/08/1989,25.12080537,22.81034483,16.23506024,34.728,15.1801055,75.35430111,13.71990172,12.96141479,33.27972028,30.81914894,30.97281553,20.53952569,20.10610932,14.05567452,14.65142429,61.2408377,10.59562449,18.77478192,15.87621968,43.59801489,40.51223022,13.96529968,19.49848943,34.50200803,23.74117647,10.50409417,10.10550045,56.92386207,82.69086909,75.90336262,30.94413408,52.54758962,14.35458167,20.08974359,46.14639516,34.55156951,11.79388235
11/09/1989,30.10738255,28.01724138,17.36854149,NA,16.38328313,NA,14.72269939,14.34565916,32.30769231,37.97340426,30.21747573,20.53917051,20.73311897,NA,14.89138577,66.43979058,10.70404553,20.11049505,NA,45.6674938,38.84028777,13.46687697,16.45619335,32.21151272,25.67058824,NA,NA,73.12882759,88.96171617,80.10209028,NA,54.53522868,14.55069583,16.09207161,47.82517867,41.28179272,12.12182502
27/09/1989,30.20134228,NA,17.01890883,31.192,15.69728916,83.53394714,NA,65.29903537,NA,43.56914894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/02/1990,22.06040268,33.20689655,30.66301337,29.224,32.29819277,41.06801954,15.29366053,37.44935691,33.34965035,26.43085106,NA,17.1961817,15.21864952,13.7366167,13.48258427,26.91099476,12.17664531,51.89029703,13.33342626,NA,19.91079137,24.14405889,29.70090634,69.75368139,16.15294118,12.95656617,12.92167454,30.01241379,49.06028603,24.49348682,44.60893855,28.15945612,21.84095427,105.5754476,19.19406267,34.08179272,12.17638758
18/02/1990,25.72483221,34.87931034,32.2760448,30.168,31.05195783,11.27708881,13.66789366,75.34244373,34.06293706,28.80319149,NA,15.78275181,NA,NA,NA,32.05235602,NA,NA,NA,NA,NA,NA,42.83383686,NA,18.16470588,NA,NA,NA,NA,24.21508634,NA,29.84548826,NA,NA,NA,29.48571429,11.03104421
6/03/1990,32.47651007,37.10344828,35.85643743,33.64,45.11671687,18.22742077,18.3190184,120.9332797,36.23776224,37.96276596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.71764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.45907808
22/03/1990,27.3557047,NA,36.5434835,NA,NA,NA,NA,91.9437299,NA,36.18085106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/04/1990,32.46308725,33.9137931,46.5702758,35.888,46.86661643,16.03751722,15.6793456,148.8014469,37.0979021,47.38297872,30.33980583,17.98485846,25.54340836,15.48715203,14.68333333,41.07329843,10.55683487,94.0819802,14.02732088,26.19727047,25.15107914,53.38170347,93.49546828,123.5716198,49.21176471,12.07715892,15.57888814,122.3417931,119.5779978,27.90184792,140.981378,36.89616811,38.77534791,151.4808184,154.8851017,34.77647059,12.25211665
23/04/1990,NA,37.82758621,NA,40.488,39.45180723,18.00657648,NA,NA,NA,NA,NA,NA,NA,NA,18.03127341,NA,12.92696235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/05/1990,35.81208054,37.56896552,43.0100012,NA,NA,NA,NA,125.6205788,38.72027972,NA,NA,19.93482554,NA,16.99785867,NA,42.03141361,11.89099043,NA,15.10036242,NA,NA,37.89484753,53.35045317,94.75100402,69.8,13.01150601,16.84658707,NA,107.1722772,NA,108.1042831,NA,NA,104.713555,NA,38.85322129,13.52658824
