"DATE","ACE","ALB1","ALB2","ALTH","ANDE","ANGO","ARDA","ATKI","BENN","BIDD","BOA1","BOKA","BROW","BRUC","BRYD","BYEN","CAIR","CAME","CAMP","CASU","COLL","COOM","CORR","COYR","CRAN","DULB","DUMB","FLAG","GARD","GNO1","GNO2","GOUN","GUND","KENT","KOND","KWOB","KWOR","LITT","MART","MEAR","METT","MIRI","MOAT","MTMA","MUIR","MURA","NGOP","NONA","NOOB","NOON","OWIN","PABE","PALL","PARK","PILL","PLAN","PLEA","POOR","POWE","QUEE","RANG","REDB","REDM","RONN","TAAN","TAAR","TOOL","TORD","UNIC","VARL","WAGI","WALB","WARG","WARR","WEST","WHIA","WHIN","WHIW","YAAL","YARN","YEAL","YELL"
1987-07-20,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,29.65517241,NA,NA,NA,NA,72.88120482,NA,NA,NA,80.464,NA,NA,NA,NA,NA,NA,NA,NA,99.25621703,NA,NA,94.63923019,NA,NA,NA,NA,47.56820975,NA,NA,NA,37.6414791,NA,NA,NA,NA,NA,58.54545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.72340426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.58693069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.99684543,NA,NA,39.6858006,NA,NA,NA,67.09504685,NA,21.41176471,NA,NA,NA,NA,NA,30.41338784,NA,NA,NA,NA,NA,35.93517893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.31843575,NA,29.73757455,NA,NA,NA,NA,NA,NA,NA,14.7939793,NA
1987-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.26980728,NA,NA,NA,NA,53.02321119,58.88118812,NA,NA,NA,NA,52.57624756,NA,NA,NA,NA,NA,49.50262881,NA,NA,28.73413897,NA,NA,NA,58.32262383,NA,109.8470588,NA,NA,NA,NA,NA,35.84006132,NA,NA,NA,NA,NA,23.25095656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.39851024,NA,32.72365805,NA,23.86445013,NA,NA,156.7915966,NA,NA,24.76763876,NA
1988-01-05,98.51370614,NA,NA,81.3159322,NA,26.8385416666667,NA,139.9035433,82.99542484,58.21153846,NA,NA,NA,NA,144.3196286,NA,97.54765146,NA,NA,NA,108.6,NA,NA,NA,NA,NA,NA,NA,10.7422775472568,NA,134.6133333,NA,NA,130.1715161,NA,NA,NA,NA,NA,NA,NA,NA,20.4464516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.69557326,NA,NA,NA,97.7616424636955,NA,NA,NA,98.62179487,NA,NA,78.44194603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.76190476,NA,NA,NA
1988-01-21,NA,91.6797966963151,54.1222385861561,88.37084746,NA,25.1736111111111,NA,137.1161417,86.4751634,60.50961538,NA,NA,NA,NA,129.7440318,NA,97.62457454,NA,NA,NA,72.7666666666667,NA,NA,NA,NA,NA,NA,NA,8.13324112494237,108.531335149864,127.6,99.41353937,NA,121.3859112,NA,NA,NA,NA,NA,NA,59.8707482993197,NA,17.8316129032258,NA,NA,NA,NA,NA,NA,NA,NA,72.5657894736842,62.08833317,NA,NA,NA,85.5052578868303,NA,NA,NA,75.80769231,NA,NA,92.8683565,NA,NA,NA,NA,NA,85.73083475,NA,NA,NA,NA,NA,68.5047923322684,NA,NA,44.70238095,NA,NA,46.9526730937774
1988-01-28,NA,NA,NA,NA,NA,NA,101.4026846,NA,NA,NA,NA,NA,158.443713,39.22413793,NA,NA,NA,NA,113.3180778,NA,NA,NA,85.344,NA,NA,NA,NA,NA,NA,NA,NA,108.4736446,NA,NA,NA,NA,NA,NA,NA,157.5562372,NA,NA,NA,117.8858521,NA,NA,NA,147.1294118,NA,114.6013986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.1276596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.097479,NA,NA,36.62935089,NA
1988-02-06,93.40734649,NA,NA,104.4135593,NA,NA,NA,143.7125984,92.05424837,64.41346154,NA,NA,NA,NA,145.0928382,NA,101.0789653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.0866667,120.5555556,NA,135.7166922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.61843299,NA,NA,NA,NA,NA,NA,NA,96.32692308,NA,NA,87.71790679,NA,NA,NA,NA,NA,81.22214651,NA,NA,NA,NA,NA,NA,NA,NA,43.54761905,NA,NA,NA
1988-02-13,NA,NA,NA,NA,NA,NA,120.966443,NA,NA,NA,NA,NA,NA,44.5862069,NA,NA,NA,NA,135.2839937,NA,NA,NA,91.584,NA,NA,NA,NA,NA,NA,NA,NA,129.002259,NA,NA,118.3184267,NA,NA,NA,NA,179.7014315,NA,NA,NA,145.6109325,NA,NA,NA,NA,NA,131.4755245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.9787234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-02-22,106.8585526,107.823379923761,67.5729013254786,137.7915254,NA,NA,NA,151.8129921,100.0071895,83.31730769,NA,NA,NA,NA,151.0543767,NA,107.3563649,NA,NA,NA,112.566666666667,NA,NA,NA,NA,NA,NA,NA,NA,139.479564032698,143.2466667,139.4606328,NA,141.9586524,NA,NA,NA,NA,NA,NA,65.6836734693878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.75,77.5051931,NA,NA,NA,95.2253380070105,NA,NA,NA,97.94230769,NA,NA,122.6402289,NA,NA,NA,NA,NA,96.15195911,NA,NA,NA,NA,NA,81.7683706070288,NA,NA,45.52380952,NA,NA,54.6535203038271
1988-02-29,NA,NA,NA,NA,NA,NA,132.6510067,NA,NA,NA,58.1892542101043,NA,NA,46.68965517,NA,69.7058562555457,NA,NA,139.1946284,NA,NA,NA,93.496,NA,NA,NA,NA,NA,NA,NA,NA,137.9073795,NA,NA,120.1912188,NA,146.298584298584,NA,NA,180.9586912,NA,NA,NA,154.0466238,165.268699581873,NA,NA,NA,95.2958115183246,130.041958,NA,NA,NA,NA,NA,NA,NA,68.7660728117738,NA,NA,NA,165.2819149,134.38494934877,NA,NA,NA,NA,74.3771941578454,119.703525641026,NA,NA,NA,NA,94.7602739726027,NA,NA,NA,NA,NA,66.0289256198347,NA,NA
