"DATE","ACE","ALB1","ALB2","ALTH","ANDE","ANGO","ARDA","ATKI","BAMB","BENN","BEVE","BIDD","BLUE","BOA1","BOKA","BOYU","BROA","BROW","BRUC","BRYD","BYEN","CAIR","CAME","CAMP","CAPA","CASU","CHAN","CHIT","CLIF","COLL","COOM","CORR","COYR","CRAC","CRAN","DAVI","DOBA","DOWE","DULB","DUMB","DUND","EGAN","EGRE","ELLE","ENEM","ESP2","ESP3","ESP4","ESP5","FLAG","FORR","FRAS","GARD","GIBB","GING","GNO1","GNO2","GOON","GOOR","GORE","GOUN","GUND","GURA","HARV","HEBI","HIND","JAND","JASP","JOON","KARA","KENT","KOND","KWOB","KWOR","LITT","LOGU","MARI","MART","MCLA","MEAR","METT","MIRI","MLGR","MOAT","MOLL","MORT","MTMA","MUIR","MUNG","MURA","MURR","NAMB","NGOP","NINA","NINE","NONA","NOOB","NOON","OWIN","PABE","PALL","PARK","PILL","PINJ","PLAN","PLEA","POOR","POWE","QUEE","RANG","REDB","REDM","RONN","SHAR","STAT","STRE","TAAN","TAAR","THOM","TOOL","TORD","TOWE","TWIN","UNIC","VARL","WAGI","WALB","WALL","WALY","WANN","WARD","WARG","WARR","WEST","WHEA","WHIA","WHIN","WHIW","WILD","WILS","YAAL","YARN","YARR","YEAL","YELL","YURI"
1986-08-25,NA,NA,NA,NA,NA,NA,NA,NA,13.2280701754386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8329411764706,18.601686972821,NA,NA,NA,NA,NA,NA,NA,NA,39.8914141414141,29.3831114808652,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,29.495652173913,NA,NA,15.0569620253165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5935251798561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4142773551785,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4745641611889,24.8142770719903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5
1987-07-20,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.65517241,NA,NA,NA,NA,72.88120482,NA,NA,NA,NA,NA,NA,NA,80.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.25621703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.63923019,NA,NA,NA,NA,NA,NA,NA,47.56820975,NA,NA,NA,NA,NA,NA,37.6414791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.54545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.72340426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.58693069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.99684543,NA,NA,NA,39.6858006,NA,NA,NA,NA,NA,NA,NA,67.09504685,NA,NA,NA,NA,NA,21.41176471,NA,NA,NA,NA,NA,30.41338784,NA,NA,NA,NA,NA,NA,35.93517893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.31843575,NA,NA,NA,NA,NA,29.73757455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7939793,NA,NA
1987-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.58057341,NA,NA,NA,NA,NA,33.09219858,77.64251781,31.80373832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-09-29,NA,NA,NA,NA,NA,NA,NA,NA,13.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8258823529412,17.3233364573571,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1077371048253,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,12.903040987219,72.6869565217391,NA,34.3090909090909,13.1803797468354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6659270998415,NA,15.1598166038972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4114583333333,NA,NA,19.658273381295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85020479812756,NA,NA,NA,36.448275862069,NA,NA,NA,NA,25.6086956521739,109.342240640183,24.4137931034483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5
1987-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8428901,NA,NA,NA,NA,41.31426056,46.56737589,81.95486936,38.18691589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.59454213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.28205128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.92022638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.09449662,NA,NA,NA,NA,48.19366197,45.18439716,84.96912114,36.12149533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.34188034,39.8483965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99483649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-12-02,NA,NA,NA,NA,NA,NA,NA,NA,15.125,NA,87.5238623751387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8823529411765,17.9090909090909,NA,NA,NA,NA,NA,NA,NA,NA,90.4242424242424,80.8685524126456,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,13.0912296165712,108.382608695652,NA,60.6818181818182,12.6424050632911,NA,NA,87.7565922920893,NA,NA,NA,NA,NA,NA,NA,NA,20.8519809825674,NA,15.3679384313083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4635416666667,NA,NA,26.7410071942446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42305441778818,NA,NA,NA,75.5862068965517,NA,NA,NA,NA,37.304347826087,141.336810517291,29.362371445856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6666666666667
1987-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.569883527454,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,17.3715293080652,116.046376811594,NA,77.2227272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0280866003511,NA,NA,NA,86.6551724137931,NA,NA,NA,NA,NA,166.214918548157,38.4519056261343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0416666666667
1987-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.26980728,NA,NA,NA,NA,NA,NA,NA,NA,53.02321119,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.88118812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.57624756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.50262881,NA,NA,NA,28.73413897,NA,NA,NA,NA,NA,NA,NA,58.32262383,NA,NA,NA,NA,NA,109.8470588,NA,NA,NA,NA,NA,35.84006132,NA,NA,NA,NA,NA,NA,23.25095656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.39851024,NA,NA,NA,NA,NA,32.72365805,NA,23.86445013,NA,NA,NA,156.7915966,NA,NA,NA,NA,NA,24.76763876,NA,NA
