"date","ARDA","BROW","CAMP","CASU","COOM","CORR","COYR","DULB","DUMB","FLAG","GOUN","GUND","KOND","KWOB","LITT","MART","MEAR","MIRI","MTMA","NOON","PARK","QUEE","REDB","TAAN","TAAR","TOOL","WALB","WARG","WEST","WHIN","WHIW","YEAL"
1988-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,1.97
1988-09-12,NA,0.64,NA,1.45,NA,0.86,NA,NA,NA,1.36,0.34,NA,0.31,NA,NA,1.34,NA,NA,NA,NA,NA,2.13,NA,NA,NA,NA,NA,1.23,0.98,NA,NA,NA
1988-09-13,NA,NA,0.5,NA,NA,NA,2.44,0.92,3.33,NA,NA,2.15,NA,1.22,0.98,NA,0.44,NA,0.08,0.42,2.02,NA,NA,NA,0.2,0.8,0.94,NA,NA,NA,NA,NA
1988-11-06,NA,0.42,0.27,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,0,0.27,NA,NA,NA,NA,0,0.6,0.83,NA,NA,NA,0,1.79
1988-11-07,NA,NA,NA,NA,NA,NA,NA,NA,3.19,NA,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,0.84,NA,NA,NA
1988-11-11,NA,NA,NA,0.96,NA,0.52,2.2,NA,NA,NA,0.14,NA,0,1.07,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-09-10,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,1.78
1989-09-11,NA,NA,NA,1.26,NA,1.37,1.78,NA,NA,0.71,1.97,NA,0.65,0.5,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,0.63,NA,NA,NA
1989-09-13,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,0.81,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-09-14,NA,NA,NA,NA,NA,NA,NA,NA,2.47,NA,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-09-15,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.24,NA,NA,NA,NA,NA
1989-11-06,NA,0.75,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.59
1989-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-11-08,NA,NA,NA,0.95,NA,NA,1.65,NA,NA,0.58,NA,NA,NA,0.35,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,0.52,NA,NA,NA
1989-11-10,NA,NA,1.27,NA,NA,NA,NA,0,2.32,NA,NA,1.4,NA,NA,0.2,NA,NA,NA,0.54,NA,1.15,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
1989-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
1990-09-09,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,NA,0,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-09-11,NA,1.64,NA,NA,NA,1.02,NA,0.84,NA,0.55,1.72,NA,2.6,NA,0.96,0.73,NA,NA,NA,NA,NA,NA,NA,NA,0.28,1.93,1.08,1.13,NA,NA,0.52,2.22
1990-09-12,NA,NA,NA,1.15,NA,NA,2.13,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-09-14,NA,NA,NA,NA,NA,NA,NA,NA,2.64,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA
1990-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-04,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-05,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,2.07
